1808,21-07-2017,tropical fruit
2552,05-01-2017,whole milk
2300,19-09-2017,pip fruit
1187,12-12-2017,other vegetables
3037,01-02-2017,whole milk
4941,14-02-2017,rolls/buns
4501,08-05-2017,other vegetables
3803,23-12-2017,pot plants
2762,20-03-2017,whole milk
4119,12-02-2017,tropical fruit
1340,24-02-2017,citrus fruit
2193,14-04-2017,beef
1997,21-07-2017,frankfurter
4546,03-09-2017,chicken
4736,21-07-2017,butter
1959,30-03-2017,fruit/vegetable juice
1974,03-05-2017,packaged fruit/vegetables
2421,02-09-2017,chocolate
1513,03-08-2017,specialty bar
1905,07-07-2017,other vegetables
2810,08-09-2017,butter milk
2867,12-11-2017,whole milk
3962,18-09-2017,tropical fruit
1088,30-11-2017,tropical fruit
4976,17-07-2017,bottled water
4056,12-06-2017,yogurt
3611,13-02-2017,sausage
1420,14-01-2017,other vegetables
4286,08-03-2017,brown bread
4918,27-01-2017,yogurt
4783,22-10-2017,hamburger meat
3709,26-10-2017,root vegetables
4289,08-10-2017,pork
1559,03-10-2017,beef
2900,11-04-2017,pastry
1905,21-02-2017,fruit/vegetable juice
3527,29-09-2017,canned beer
1495,09-01-2017,root vegetables
3558,03-04-2017,citrus fruit
3128,20-04-2017,sausage
1863,04-08-2017,tropical fruit
3841,19-07-2017,berries
3903,06-10-2017,canned beer
2658,16-10-2017,butter milk
4272,06-06-2017,coffee
1120,26-09-2017,pastry
2676,15-08-2017,rolls/buns
1697,21-05-2017,misc. beverages
2507,25-08-2017,root vegetables
4620,11-03-2017,sausage
3365,01-02-2017,canned beer
2978,05-06-2017,ham
2910,28-07-2017,turkey
1061,05-09-2017,whole milk
3276,03-04-2017,whole milk
1326,19-06-2017,packaged fruit/vegetables
3023,28-07-2017,rolls/buns
2185,11-10-2017,ham
3552,16-06-2017,rolls/buns
1967,20-01-2017,other vegetables
4708,20-03-2017,sausage
2874,15-02-2017,sausage
4177,13-04-2017,frankfurter
1663,07-02-2017,rolls/buns
2632,02-03-2017,whole milk
1377,14-03-2017,curd cheese
4162,22-12-2017,red/blush wine
2270,01-07-2017,sausage
4829,03-11-2017,tropical fruit
3811,14-04-2017,red/blush wine
4766,29-09-2017,whole milk
2436,12-04-2017,frankfurter
3860,05-05-2017,whole milk
4875,12-05-2017,frozen potato products
1587,01-07-2017,other vegetables
4038,08-07-2017,citrus fruit
4750,21-09-2017,flour
1199,10-12-2017,sugar
1603,30-09-2017,frozen meals
3111,31-01-2017,chocolate
3894,13-12-2017,root vegetables
1456,18-09-2017,root vegetables
2022,04-03-2017,herbs
2505,30-11-2017,bottled water
4851,20-12-2017,sausage
4293,04-08-2017,coffee
2775,06-11-2017,pork
3693,18-02-2017,berries
1202,22-07-2017,soda
3699,23-08-2017,berries
4152,15-04-2017,fruit/vegetable juice
4155,26-01-2017,citrus fruit
4010,29-12-2017,pork
4389,20-10-2017,detergent
3746,17-08-2017,grapes
2560,17-05-2017,sausage
1503,25-07-2017,chicken
2555,23-12-2017,whole milk
3645,12-12-2017,citrus fruit
3886,11-09-2017,soda
2932,20-03-2017,sausage
1711,18-06-2017,frankfurter
4291,08-12-2017,sausage
1143,25-04-2017,soda
4564,08-07-2017,rolls/buns
3337,14-05-2017,beef
4931,04-05-2017,whole milk
2623,10-10-2017,processed cheese
4581,03-04-2017,tropical fruit
2635,11-06-2017,frankfurter
1095,30-10-2017,packaged fruit/vegetables
2990,23-05-2017,whole milk
2426,05-06-2017,berries
4555,07-11-2017,citrus fruit
3635,04-09-2017,tropical fruit
3058,18-05-2017,hamburger meat
4391,26-03-2017,hamburger meat
1306,23-06-2017,whole milk
1024,10-08-2017,fish
1295,23-07-2017,frankfurter
1661,01-06-2017,packaged fruit/vegetables
4591,15-05-2017,pastry
3169,14-06-2017,other vegetables
3915,21-05-2017,misc. beverages
1127,14-01-2017,frankfurter
4828,08-08-2017,sparkling wine
3683,10-06-2017,specialty bar
1971,18-09-2017,sausage
3014,11-11-2017,curd cheese
3779,15-09-2017,frankfurter
2489,04-05-2017,whole milk
3564,27-06-2017,newspapers
4092,30-09-2017,berries
3221,13-01-2017,curd
1279,06-09-2017,tropical fruit
2581,22-08-2017,soda
2295,25-02-2017,rolls/buns
4760,22-02-2017,canned beer
3649,16-01-2017,canned beer
1075,19-11-2017,frankfurter
3987,19-08-2017,other vegetables
4106,25-08-2017,whole milk
4338,24-06-2017,whole milk
4166,06-11-2017,citrus fruit
1211,10-03-2017,frankfurter
3954,21-01-2017,frankfurter
3928,18-07-2017,butter milk
3827,30-09-2017,hamburger meat
4699,08-02-2017,pasta
4747,08-06-2017,other vegetables
3028,09-06-2017,sausage
2851,16-03-2017,rolls/buns
4417,25-02-2017,grapes
3822,07-03-2017,root vegetables
2288,31-05-2017,coffee
2184,30-06-2017,popcorn
4554,27-08-2017,whole milk
3361,05-03-2017,tropical fruit
